gauge_id;MINLON;MAXLON;MINLAT;MAXLAT
01414500;-74.76942;-74.55043;42.02499;42.13493
01415000;-74.87303;-74.71246;42.09494;42.26117
01423000;-75.22536;-74.53852;42.10757;42.48259
01434025;-74.52449;-74.44404;41.97253;42.05493
01435000;-74.65131;-74.33796;41.85139;42.05493
01439500;-75.22051;-75.18007;41.24502;41.28534
01440000;-74.99065;-74.65056;41.06858;41.32759
01440400;-75.3798;-75.14731;41.06026;41.29234
01451800;-75.78993;-75.57464;40.55621;40.76652
01466500;-74.53051;-74.4506;39.83637;39.91124
01484100;-75.54014;-75.49965;38.85085;38.89143
01485500;-75.55459;-75.38833;38.20351;38.40844
01486000;-75.7144;-75.5888;38.17244;38.26342
01487000;-75.56609;-75.52568;38.71219;38.75251
01491000;-75.64855;-75.60813;38.9824;39.02272
01510000;-75.69828;-75.65783;42.69578;42.7361
01516500;-77.03681;-76.89859;41.71447;41.82522
01518862;-77.7769;-77.47344;41.80595;42.05616
01532000;-76.68934;-76.64891;41.72562;41.76593
01539000;-76.57679;-76.09977;41.0467;41.39403
01542810;-78.33915;-78.24556;41.55779;41.65968
01543000;-78.58278;-78.06358;41.38861;41.7127
01543500;-78.11755;-78.07493;41.29632;41.33832
01544500;-77.81697;-77.77654;41.62973;41.67004
01545600;-77.72238;-77.53798;41.34542;41.57423
01547700;-77.87828;-77.57614;40.96088;41.11669
01548500;-77.9178;-77.09665;41.45397;41.94908
01549500;-77.25864;-77.04609;41.42436;41.64144
01550000;-77.12769;-76.74089;41.38656;41.67237
01552000;-76.24217;-76.20174;41.47616;41.51648
01552500;-76.57368;-76.35531;41.31235;41.43484
01557500;-78.31321;-78.10396;40.6566;40.82068
01567500;-77.52803;-77.36228;40.33687;40.4469
01568000;-77.60408;-77.56366;40.18126;40.22157
01580000;-76.70797;-76.36618;39.59121;39.80798
01583500;-76.86892;-76.6198;39.43545;39.62526
01586610;-77.09847;-76.92957;39.42408;39.56651
01591400;-77.13887;-76.99524;39.23016;39.37341
01594950;-79.45007;-79.36956;39.24947;39.32258
01596500;-79.18918;-78.90783;39.53891;39.73613
01605500;-79.66635;-79.26676;38.37772;38.68046
01606500;-79.71968;-79.10749;38.37772;39.09237
01613050;-78.22969;-78.11091;39.87604;39.97497
01620500;-79.34293;-79.20162;38.29253;38.47603
01632000;-79.11312;-78.78798;38.51298;38.88366
01632900;-78.87881;-78.83841;38.45771;38.49803
01634500;-78.63629;-78.25385;38.9195;39.20678
01638480;-77.83156;-77.53588;39.1078;39.3002
01639500;-77.26264;-76.86445;39.55942;39.73969
01644000;-78.09548;-77.55686;38.82034;39.18684
01658500;-77.49989;-77.38516;38.55941;38.66112
01664000;-78.39241;-77.77552;38.44546;38.91596
01666500;-78.46264;-78.04326;38.29156;38.61758
01667500;-78.54617;-77.95105;38.10167;38.61758
01669000;-77.06245;-76.85905;37.80643;37.92622
01669520;-76.75804;-76.71763;37.59644;37.63676
02011400;-79.92193;-79.54313;37.97848;38.45784
02011460;-79.90303;-79.60622;38.09314;38.50473
02013000;-80.37644;-79.99218;37.54966;37.95918
02014000;-80.52291;-79.92223;37.412;37.76099
02015700;-79.58377;-79.5402;38.1668;38.20916
02016000;-79.82949;-79.30539;37.73053;38.48268
02017500;-80.56027;-80.07917;37.32026;37.58921
02018000;-80.56027;-79.87967;37.25921;37.71934
02027000;-79.17907;-78.88107;37.68951;37.93772
02027500;-79.21587;-78.98334;37.67523;37.8526
02028500;-79.01514;-78.71883;37.82786;38.06567
02038850;-78.73035;-78.59947;37.384;37.47754
02046000;-77.94608;-77.56344;36.99588;37.18609
02051000;-78.50561;-78.25509;36.97173;37.1264
02051500;-78.19632;-78.15592;36.74181;36.78212
02053200;-77.12935;-77.08896;36.26706;36.30737
02053800;-80.32125;-80.28086;37.05265;37.09296
02055100;-80.00497;-79.86442;37.37544;37.48712
02056900;-80.08896;-80.04857;36.96848;37.00879
02059500;-79.83837;-79.45916;37.11717;37.50539
02064000;-79.14362;-78.79699;37.09524;37.38527
02065500;-78.87421;-78.65773;37.05848;37.35346
02069700;-80.40415;-80.08107;36.51233;36.74222
02070000;-80.22655;-79.92291;36.54082;36.77415
02074500;-79.73604;-79.46456;36.57295;36.8525
02077200;-79.33038;-79.15801;36.19824;36.44461
02081500;-78.59245;-78.55047;36.16885;36.2102
02082950;-78.18164;-77.77127;36.1569;36.46844
02092500;-77.77851;-77.3994;34.90956;35.18401
02096846;-79.22805;-79.14024;35.96059;36.0572
02102908;-79.26207;-79.1501;35.11084;35.20761
02108000;-78.05881;-78.01842;34.80817;34.84848
02111180;-81.62409;-81.37439;36.04376;36.2551
02111500;-81.40277;-81.12909;36.15049;36.399
02112120;-81.08661;-81.04622;36.23156;36.27187
02112360;-80.8237;-80.78244;36.28632;36.32817
02118500;-81.16121;-80.69411;35.97683;36.20773
02125000;-80.43489;-80.27456;35.27948;35.51611
02128000;-79.9492;-79.75031;35.36394;35.71207
02137727;-82.31528;-82.03213;35.51777;35.75629
02140991;-81.9025;-81.56058;35.80738;36.16809
02143000;-81.77552;-81.35323;35.55799;35.74278
02143040;-81.7103;-81.53657;35.54141;35.65322
02149000;-82.25411;-81.99348;35.40194;35.63101
02152100;-81.86456;-81.63669;35.46157;35.63224
02177000;-83.39091;-83.0179;34.78478;35.14543
02178400;-83.62257;-83.43167;34.85703;35.06005
02193340;-82.89616;-82.85579;33.73546;33.77576
02196000;-82.33983;-81.76863;33.70353;34.21756
02198100;-81.96424;-81.78149;32.89648;33.03231
02202600;-81.53582;-81.49545;32.32602;32.36632
02212600;-83.80266;-83.60524;33.06664;33.27927
02215100;-83.8592;-83.4743;32.14862;32.41013
02216180;-83.1612;-82.8975;31.95326;32.11267
02221525;-83.78412;-83.4446;33.20106;33.54165
02231000;-82.52479;-82.04021;30.0659;30.78292
02231342;-80.97201;-80.75443;27.43185;27.64875
02235200;-81.63957;-81.59922;28.85805;28.89836
02245500;-82.04641;-81.72187;29.78234;30.01006
02246000;-82.05911;-82.01876;30.00456;30.04487
02296500;-81.68377;-81.6424;27.27239;27.31343
02297155;-82.11423;-81.98037;27.44338;27.66468
02297310;-81.99861;-81.95826;27.1503;27.19061
02298123;-81.77494;-81.73459;27.13017;27.17047
02298608;-82.04717;-82.00678;27.33872;27.3793
02299950;-82.25682;-82.04361;27.44212;27.66813
02300700;-82.39315;-82.22983;27.6878;27.83634
02310947;-81.76989;-81.72955;28.15418;28.19449
02312200;-82.23204;-81.81102;28.37913;28.65341
02314500;-82.89071;-82.09313;30.63926;31.2744
02315500;-82.82532;-82.78497;30.44609;30.4864
02324400;-83.5187;-83.47834;30.1375;30.1778
02327100;-84.48588;-84.44554;30.17402;30.21432
02342933;-85.54628;-85.2676;31.90685;32.12733
02349900;-83.94683;-83.73826;32.15815;32.33212
02350900;-84.73286;-84.2032;31.73938;32.41445
02361000;-85.72658;-85.24547;31.28802;31.90205
02363000;-85.88144;-85.39805;31.57077;32.16829
02369800;-86.80496;-86.53523;30.98376;31.17424
02371500;-86.28571;-85.61799;31.50356;32.17255
02372250;-86.45638;-85.98643;31.5499;32.0984
02374500;-87.18237;-86.89418;31.38291;31.75294
02381600;-84.49016;-84.39721;34.54601;34.61776
02384540;-84.7524;-84.61779;34.83306;34.91924
02395120;-84.91455;-84.87207;34.21856;34.26002
02408540;-86.31875;-85.92793;32.84499;33.33949
02415000;-86.02609;-85.71582;33.03604;33.34269
02422500;-86.99123;-86.60178;32.5593;33.00695
02427250;-87.14219;-86.71677;31.70669;32.08276
02430085;-88.30716;-88.26576;34.44551;34.48634
02430615;-88.39389;-88.28199;34.35364;34.46326
02450250;-87.56864;-87.29328;34.24068;34.45567
02464000;-87.74704;-87.46325;33.44605;33.86256
02464146;-87.54012;-87.4473;33.36408;33.45816
02464360;-87.76316;-87.59418;33.35095;33.57439
02465493;-87.6629;-87.40555;32.9054;33.03094
02469800;-88.04489;-88.00348;31.72018;31.76154
02472000;-89.71753;-89.18492;31.66724;32.38003
02472500;-89.87305;-89.38101;31.35612;31.88471
02479155;-89.0054;-88.96507;31.00983;31.05012
02479300;-89.14383;-89.1035;30.91653;30.95682
