StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
05014300,Ref,FALSE,40.3,3.28,48.805062,-113.723333,199.73,1.98,65.4,243.9,178,166,20,8.8,414.6,65.9,0.244,0,1.3,9.35,12.2,1130.9,35.71,0.07,22.44,37.73,0.17,0.07,0,9.55,36.74,23.66,30.04,0.08,2.19,1.43,0.69,6,47.84,49.39,29.09,20.07,47.37,32.57,0.2,58.16,1942,0.334,54.7,169.4,-0.983,0.184,1.97,71.5,50.86,30.75,47.2,4.036746954,20.82,1319
06036805,Ref,FALSE,103.1,1.79,44.412503,-110.818184,96.6,0.3,56.6,229.5,194.1,160.6,20.1,9,372.1,69.6,0.209,2,0,10.71,26.8,792.5,81.86,0,0.03,12.32,2.85,0,0,12.45,45,11.23,31.32,0.09,5,1.44,0.69,5.68,46.3,70.12,32.24,15.99,34.35,49.66,0.17,44.06,2500,0.6,8,231.6,-0.621,-0.783,2.47,31.85,27.85,16.13,20.72,4.049681326,23.46,433
06036905,Ref,TRUE,676.9,1.37,44.519468,-110.790268,95.59,0.11,56.9,229.1,195.1,148.7,18.1,8.4,371,66.6,0.213,2,0,11.17,47.8,579.8,63.96,0.05,0.15,24.03,8.91,0.05,0,10.12,45.19,9.97,34.72,0.09,4.88,1.43,0.68,5.68,45,70.74,32.46,15.99,34.13,49.88,0.17,35.62,2441,0.525,7.5,355.8,0.997,-0.074,2.62,31.91,27.39,15.36,20.99,3.872656413,23.57,550
06037100,Ref,TRUE,322.8,1.43,44.716492,-110.702862,88.22,0.53,57.4,231.1,190.7,129.6,14.5,7.4,382,64.3,0.194,1.2,0.5,11.4,65.3,383.7,56.7,0.03,0.09,30.04,9.5,0.03,0,14.18,49.67,9.76,26.39,0.08,4.23,1.47,0.7,5.77,49.7,61.71,29.01,16.04,37.28,46.68,0.17,26.12,2396,0.405,10.2,252.5,-0.301,-0.954,2.97,28.83,24.99,14.53,19.77,3.590946269,23.63,796
06037500,Ref,TRUE,1126.2,1.12,44.58478,-110.783979,94.84,0.29,57,230.1,193.2,143.1,17,8.1,375.9,65.8,0.212,1.7,0.2,11.14,52.8,535.8,59.17,0.04,0.12,27.83,9.82,0.04,0,12.89,46.84,10.52,29.75,0.08,4.69,1.45,0.69,5.71,47.49,66.91,31,16.01,35.47,48.52,0.17,32.86,2421,0.454,8.9,352,0.99,-0.139,2.57,31.66,27.09,15.08,21,3.813311669,23.61,823
06043500,Ref,TRUE,2120.4,1.29,45.193257,-111.2207,87.55,2.09,59.7,240.9,178.2,125.1,13.9,7.8,418.1,57.9,0.109,1.8,1.2,10.07,19.9,579.8,63.8,0.04,0.64,26.4,7.37,0.04,0,5.57,50.2,20.49,23.74,0.09,2.48,1.45,0.85,5.7,51.76,58.32,33.75,19.64,43.21,37.15,0.21,26.93,2409,0.449,28.2,23.8,0.915,0.403,1.32,22.34,27.51,18.32,19.39,3.759180259,22.8,1851
06073500,Ref,TRUE,834.6,1.32,47.219514,-112.407833,59.29,5.38,58.8,249.6,157.1,93,10.6,5.2,512.7,34.4,0.097,0,18.2,10.74,95.9,154.2,42.74,1.42,2.28,17,35.56,0.94,0.49,1.69,40.4,29.36,28.55,0.11,1.34,1.4,0.9,5.89,42.59,64,42.72,23.79,47.36,28.85,0.24,21.86,1578,0.262,22.9,79.5,0.182,0.983,0.31,13.68,17.2,15.91,12.48,3.135328585,22.77,1597
06078500,Ref,FALSE,670,2.32,47.783609,-112.955426,99.55,3.48,58.7,246.3,166.8,118.1,13.4,6.8,446.4,53.9,0.117,0,20.1,10.15,83.7,547.8,67.45,0.06,7.87,16.63,7.66,0.05,0.01,7.44,42.83,20.41,29.31,0.1,1.16,1.42,0.74,5.97,47.78,56.89,33.97,22.38,43.86,33.76,0.2,36.86,1951,0.356,29,168.3,-0.979,0.202,0.32,29.46,27.39,21.29,21.38,3.667474041,21.2,1391
06079000,Ref,FALSE,651.1,1.72,47.506511,-112.941354,93.97,3.74,60,246,166.6,120.4,13.8,6.7,449.4,54.5,0.155,0,20.1,10.08,26,473.5,63.51,0.02,7.44,9.05,19.87,0.02,0,7.38,43.58,17.95,31.09,0.09,1.21,1.42,0.66,6,46.85,52.91,31.76,21.55,46.26,32.19,0.2,31.13,2035,0.45,34,70,0.343,0.939,0.09,29.87,25.55,18.23,20.3,3.428182552,20.98,1297
06090500,Ref,FALSE,918.8,2.25,47.034816,-110.817398,63.79,3.88,57.5,243.8,174,96.8,10.8,5.9,458.2,37.9,0.189,0.2,0.9,10.02,49.7,228.8,77.5,0.16,0.82,1.08,19.19,0.16,0,2.93,74.05,9.57,13.45,0.08,1.68,1.46,0.49,6,54.65,51.57,29.45,21.31,43.74,34.95,0.19,32.17,1869,0.418,27.3,5.7,0.995,0.099,0.07,11.46,19.77,19.61,12.97,3.230127485,22.23,1577
06092500,Ref,FALSE,342,1.43,48.244586,-113.062267,95.49,2.22,59.9,246.1,168.7,117.7,13.8,6.6,423.7,54.9,0.115,0,20.9,10.64,108.8,593.6,57.25,0.49,5.31,20.07,15.3,0.49,0,5.59,47.01,18.14,29.26,0.1,1.15,1.43,0.8,5.94,48.56,58.8,36.03,23.05,45.14,31.81,0.21,38.9,1801,0.42,28.1,45.5,0.7,0.714,0.98,28.83,25.26,19.81,21.42,3.672168358,21.95,1247
06102500,Ref,FALSE,286.7,2.13,47.919419,-112.780512,92.73,3.06,58.8,245.2,166.9,108.2,11.7,6.4,435.7,53.8,0.059,0,9.1,10,23.5,495.3,50.31,0.03,13.61,17.56,18.35,0.03,0,7.67,40.21,15.87,36.25,0.09,1.19,1.41,0.83,5.96,45.11,57.2,34.45,22.4,44.14,33.46,0.2,40.18,1992,0.401,39.5,104.4,-0.249,0.968,0.14,25.65,24.02,21.37,21.81,3.607748791,21.37,1356
06109800,Ref,FALSE,129.7,2.46,46.720431,-110.403903,67.88,2.57,58.4,237,181.1,90.1,11.2,5.1,420.5,43.7,0.181,0,0.4,10.5,28,236.7,84.78,0.05,0.05,3.63,11.23,0.05,0,4.11,72.54,12.99,10.36,0.07,2.13,1.49,0.39,6,57.18,47.22,24.16,19.53,39.66,40.81,0.16,25.02,2038,0.451,17.5,58.6,0.521,0.854,0.25,12.81,22.51,19.61,12.95,3.158264409,21.99,840
